Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29430055,Lucky Boy,Shanthi Sekaran,"Sekaran, Shanthi",,"=""1101982241""","=""9781101982242""",0,4.14,G.P. Putnam's Sons,Hardcover,472,2017,2017,,2019/06/07,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
42975172,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,"Atwood, Margaret",,"=""0385543786""","=""9780385543781""",0,3.62,Nan A. Talese,Hardcover,432,2019,2019,,2019/06/03,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
27274322,The Tumbling Turner Sisters,Juliette Fay,"Fay, Juliette",,"=""1501134485""","=""9781501134487""",4,3.93,Gallery Books,ebook,352,2016,2016,2019/06/02,2019/05/27,,,read,,,,1,,,0,,,,,
31142461,Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""""","=""""",4,4.14,Mariner Books,Kindle Edition,209,2000,1999,2019/05/27,2018/01/23,,,read,,,,1,,,0,,,,,
44764775,The Night Tiger,Yangsze Choo,"Choo, Yangsze",,"=""""","=""""",4,3.87,,Audible Audio,,,2019,2019/05/10,2019/05/02,audiobook,audiobook (#122),read,,,,1,,,0,,,,,
37548924,The Temptation of Gracie,Santa Montefiore,"Montefiore, Santa",,"=""1471169588""","=""9781471169588""",0,4.17,Simon & Schuster,Hardcover,400,2018,2018,,2019/04/30,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
17910054,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0805092994""","=""9780805092998""",0,4.13,Henry Holt and Co. (Georg von Holtzbrinck),Hardcover,336,2014,2014,,2019/04/26,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
26026087,Behold the Dreamers,Imbolo Mbue,"Mbue, Imbolo",Prentice Onayemi,"=""0147523109""","=""9780147523105""",3,3.95,Random House Audio,Audiobook,12,2016,2016,2019/04/25,2019/04/17,audiobook,audiobook (#121),read,,,,1,,,0,,,,,
42947785,The Rosie Result (Don Tillman #3),Graeme Simsion,"Simsion, Graeme",,"=""""","=""""",0,4.07,Text Publishing,Kindle Edition,,2019,2019,,2019/04/17,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
34658594,The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,"XIV, Dalai Lama","Desmond Tutu, Douglas Carlton Abrams","=""""","=""""",3,4.38,Penguin Audio,Audible Audio,,2016,2016,2019/04/14,2019/04/05,audiobook,audiobook (#120),read,,,,1,,,0,,,,,
